domain	fake_sum
albawaba.com	1.0
en.granma.cu	1.0
dailyheadlines.net	3.0
c19early.com	1.0
eastpennyroyalnews.com	1.0
itaglive.com	2.0
laharbornews.com	1.0
necoloradonews.com	1.0
ourhealthguides.com	1.0
biodefense.com	1.0
thespectator.info	1.0
countdowntozerotime.com	1.0
southgeorgiatimes.com	1.0
eviemagazine.com	1.0
shtfplan.com	1.0
huzlers.com	1.0
nhbusinessdaily.com	1.0
drrichswier.com	1.0
defconnews.com	1.0
theconservativebrief.com	1.0
newsdaily12.com	3.0
northstlnews.com	1.0
thepublicdiscourse.com	1.0
magafeed.com	1.0
mediazone.news	2.0
usapolitics24hrs.com	3.0
darkpolitricks.com	1.0
femalista.com	1.0
anotherdayintheempire.com	1.0
jeffersonreporter.com	1.0
patriotrising.com	1.0
theinformedamerican.net	1.0
religionmind.com	3.0
shreveportreporter.com	1.0
americanflavor.news	1.0
sott.net	1.0
iwanttoexplore.com	2.0
takimag.com	1.0
nwwaynenews.com	1.0
southernindianatoday.com	1.0
allnewspipeline.com	2.0
secretsofthefed.com	1.0
mainebusinessdaily.com	1.0
freedomoutpost.com	1.0
politicsusanews.com	3.0
batonrougereporter.com	1.0
informationliberation.com	1.0
dailystormer.com	2.0
shiawasseetimes.com	1.0
newsbreakingspipe.com	2.0
sanmateosun.com	1.0
enhlive.com	2.0
myzonetoday.com	2.0
mediaroots.org	1.0
gangstergovernment.com	1.0
springstimes.com	1.0
libertywire.net	1.0
thepulse.one	1.0
viraltube.nl	1.0
wisconsindailystar.com	1.0
thewashingtonpress.com	3.0
thefrisky.com	1.0
c19pvpi.com	1.0
hudsontoday.com	1.0
c19ly.com	1.0
peta.org	1.0
sedenvernews.com	1.0
americanfreepress.net	2.0
cnnews3.com	2.0
usa360-tv.com	1.0
americanpeopledaily.com	1.0
conservativeoutfitters.com	1.0
glitch.news	1.0
nationalzero.com	1.0
savethemales.ca	1.0
eastvolusianews.com	1.0
eckansasnews.com	1.0
infogalactic.com	1.0
stillnessinthestorm.com	2.0
bigamericannews.com	1.0
northpanhandlenews.com	1.0
dailynews10.com	2.0
organicfacts.net	1.0
fresnoleader.com	1.0
americantoday.us	1.0
new.deepleftfield.info	1.0
rockvalleytimes.com	1.0
conservativebeaver.com	1.0
gatesofvienna.net	1.0
nwatlantanews.com	1.0
southbaysdnews.com	1.0
southwichitanews.com	1.0
annarbortimes.com	1.0
dailynewsbin.com	2.0
conservativechoicecampaign.com	1.0
politicono.com	3.0
eutimes.net	2.0
c19ic.com	1.0
cbsnews.com.co	2.0
frc.org	1.0
keywestreporter.com	1.0
rightwingtribune.com	1.0
healthandmoneynews.wordpress.com	1.0
patrioticpost.com	1.0
southbergennews.com	1.0
automaticearth.com	1.0
illicitinfo.com	1.0
northsfvtoday.com	1.0
liberalplug.com	3.0
brotherjohnf.com	1.0
cnnnext.com	1.0
yaliberty.org	1.0
faithit.com	1.0
gop.gov	1.0
winningdemocrats.com	1.0
apost.com	1.0
presidentialhill.com	1.0
nefloridanews.com	1.0
westernjournal.com/ct	1.0
childrenshealthdefense.org	1.0
unmuzzlednews.com	1.0
northnewcastlenews.com	1.0
24online.news	1.0
