domain	mixed_sum
punjabitribuneonline.com	1.0
ekirikas.com	1.0
news4ktla.com	1.0
gmanetwork.com	1.0
rollingout.com	1.0
lbc.co.uk	1.0
dennismichaellynch.com	1.0
lozierinstitute.org	1.0
glossynews.com	1.0
meaww.com	1.0
bnc.tv	1.0
pfaw.org	1.0
opendoorsus.org	1.0
outkick.com	1.0
liberaldarkness.com	1.0
witscience.org	1.0
heritage.org	1.0
genesiustimes.com	1.0
huzlers.com	1.0
citizensforethics.org	1.0
scrappleface.com	1.0
aceshowbiz.com	1.0
ntknetwork.com	1.0
imprimis.hillsdale.edu	1.0
der-postillon.com	1.0
blackcommunitynews.com	1.0
freepress.org	1.0
aei.org	1.0
merryjane.com	1.0
trofire.com	1.0
mdpi.com/journal/agriculture	1.0
israelnationalnews.com	1.0
standardmedia.co.ke	1.0
nypost.com	1.0
shorenewsnetwork.com	1.0
mdpi.com/journal/asi	1.0
newscorpse.com	1.0
mdpi.com/journal/agronomy	1.0
peoplesworld.org	1.0
mdpi.com/journal/anatomia	1.0
ghionjournal.com	1.0
commentarymagazine.com	1.0
frankmag.ca	1.0
financialexpress.com	1.0
shondaland.com	1.0
timesheadline.com	1.0
rocanews.com	1.0
acton.org	1.0
blacklivesmatter.com	1.0
thespoof.com	2.0
cftni.org	1.0
fakehatecrimes.org	1.0
adelaidenow.com.au	1.0
crooked.com	1.0
mdpi.com/journal/atmosphere	1.0
ips-dc.org	1.0
duffelblog.com	1.0
alternet.org	1.0
buzzfeed.com	1.0
tribuneindia.com	1.0
indivisible.org	1.0
franklinnews.org	1.0
al-sura.com	1.0
medium.com	1.0
7news.com.au	1.0
english.chosun.com	1.0
opslens.com	1.0
aa.com.tr/en	1.0
capitalresearch.org	1.0
honestreporting.com	1.0
cagw.org	1.0
whowhatwhy.org	1.0
theineptowl.com	1.0
thecollegefix.com	1.0
democracyguardian.com	1.0
secondnexus.com	1.0
dcenquirer.com	1.0
mdpi.com/journal/antibiotics	1.0
theodysseyonline.com	1.0
callthecops.net	1.0
ejinsight.com	1.0
tnc.news	1.0
americanindependent.com	1.0
thevalleyreport.com	1.0
associatedmediacoverage.com	1.0
: democracychronicles.org	1.0
bild.de	1.0
populistwire.com	1.0
venezuelanalysis.com	1.0
counterfire.org	1.0
newsexaminer.net	1.0
khaleejtimes.com	1.0
conservativetoday.com	1.0
bigamericannews.com	1.0
babylonbee.com	1.0
ricochet.com	1.0
cpusa.org	1.0
sentinelksmo.org	1.0
awazetribune.com	1.0
therightists.com	1.0
mdpi.com/journal/atoms	1.0
ronpaullibertyreport.com	1.0
citizencritics.org	1.0
mb.com.ph	1.0
peoplespolicyproject.org	1.0
themilitant.com	1.0
theguardian.com/observer	1.0
prettycoolsite.com	1.0
unconfirmedsources.com	1.0
christiannewsalerts.com	1.0
patheos.com	1.0
explainamerica.com	1.0
order-order.com	1.0
beinglibertarian.com	1.0
geopoliticsalert.com	1.0
dunning-kruger-times.com	1.0
kyivpost.com	1.0
ohiocapitaljournal.com	1.0
humanevents.com	1.0
thehonestpatriot.net	1.0
business2community.com	1.0
wikiislam.net	1.0
mdpi.com/journal/antibodies	1.0
meidastouch.com	1.0
islamicanews.com	1.0
northkoreatimes.com	1.0
lesswrong.com	1.0
thehindubusinessline.com	1.0
thechristianleft.org	1.0
dailysnark.com	2.0
mic.com	1.0
iefimerida.gr	1.0
malaysia-today.net	1.0
shareably.net	1.0
vinnews.com	1.0
tenthamendmentcenter.com	1.0
thenewrevere.com	1.0
crimeresearch.org	1.0
care2.com	1.0
freedomandprosperity.org	1.0
egypttoday.com	1.0
erlc.com	1.0
aclu.org	1.0
freerepublic.com	1.0
leftfootforward.org	1.0
opposingviews.com	1.0
disclose.tv	1.0
empireherald.com	1.0
wenxuecity.com	1.0
investors.com	1.0
canadafactcheck.ca	1.0
knewz.com	1.0
milliyet.com.tr	1.0
theprimarymarket.com	1.0
americanbridgepac.org	1.0
campusreform.org	1.0
: msnbc.com	1.0
democratichub.com	1.0
aawsat.com/english	1.0
thenews.mx	1.0
redstate.com	1.0
dworkinreport.com	1.0
gomerblog.com	2.0
theracketreport.com	1.0
en.interfax.com.ua	1.0
sfbayview.com	1.0
express.co.uk	1.0
eppc.org	1.0
albertapressleader.ca	1.0
thedailymash.co.uk	2.0
news.grabien.com	1.0
mirror.co.uk	1.0
wundergroundmusic.com	1.0
freepatriot.org	1.0
smirkingchimp.com	1.0
health.com	1.0
theamericancause.org	1.0
thehardtimes.net	2.0
spectator.org	1.0
theunrealtimes.com	1.0
mediarightnews.com	1.0
elitedaily.com	1.0
americafirstpolicy.com	1.0
ifstudies.org	1.0
adobochronicles.com	2.0
dailyleak.org	1.0
chicksonright.com	1.0
billmoyers.com	1.0
dcstatesman.com	1.0
freewoodpost.com	1.0
btselem.org	1.0
patriotnewsdaily.com	2.0
philstar.com	1.0
independent.co.uk/us	1.0
aclj.org	1.0
issuesinsights.com	1.0
theshovel.com.au	2.0
mdpi.com/journal/analytics	1.0
biznews.com	1.0
biomedcentral.com	1.0
fitsnews.com	1.0
thestonkmarket.com	1.0
i24news.tv	1.0
newsbusters.org	1.0
nova24tv.si	1.0
flake.news	1.0
humortimes.com	1.0
stneotscitizen.com	1.0
thelist.com	1.0
ncscooper.com	1.0
theleoterrell.com	1.0
esquire.com	1.0
huffpost.com	1.0
workers.org	1.0
politizoom.com	1.0
brownstone.org	1.0
westernstandard.news	1.0
epnewsleader.com	1.0
icitizen.com	1.0
mackinac.org	1.0
mdpi.com/journal/antioxidants	1.0
punchng.com	1.0
mises.org	1.0
timesofindia.indiatimes.com	1.0
punchingbagpost.com	1.0
publicinterestlegal.org	1.0
moronmajority.com	1.0
lushforlife.com	1.0
foreignpolicyjournal.com	1.0
latestly.com	1.0
phnompenhpost.com	1.0
ecuavisa.com	1.0
mdpi.com/journal/applbiosci	1.0
duffleblog.com	1.0
deshabhimani.com	1.0
rilenews.com	1.0
dailydiscord.com	2.0
floridasunpost.com	1.0
leftjustified.com	1.0
beliefnet.com	1.0
americanprogress.org	1.0
thedailyliberator.com	1.0
uawire.org	1.0
conservativewoman.co.uk	1.0
fakingnews.com	1.0
aljazeera.com	1.0
theadvocates.org	1.0
asian-dawn.com	1.0
crystalair.com	1.0
patriotpartypress.com	1.0
scmp.com	1.0
mydailyfreedom.com	1.0
jordantimes.com	1.0
liberalamerica.org	1.0
sensationalisttimes.com	1.0
surrealscoop.com	1.0
affinitymagazine.us	1.0
nation.com.pk	1.0
afpc.org	1.0
offgridsurvival.com	1.0
nfrw.org	1.0
itsgoingdown.org	1.0
dailyo.in	1.0
private-eye.co.uk	1.0
worldsocialism.org/spgb	1.0
drudgereport.com	1.0
: politicalite.com	1.0
the-daily.buzz	1.0
mdpi.com/journal/admsci	1.0
blackagendareport.com	1.0
washingtonpress.com	1.0
ranker.com	1.0
opednews.com	1.0
amimagazine.org	1.0
loneconservative.com	1.0
newslookup.com	1.0
ibtimes.com	1.0
bellinghammetronews.com	1.0
elkoshary.com	1.0
attackthesystem.com	1.0
newsmutiny.com	2.0
inquisitr.com/news	1.0
sabah.com.tr	1.0
oneindia.com	1.0
asiasentinel.com	1.0
thesun.co.uk	1.0
mdpi.com/journal/algorithms	1.0
mdpi.com/journal/arthropoda	1.0
thedailywtf.com	1.0
fark.com	1.0
fognews.ru	1.0
ahvalnews.com	1.0
godupdates.com	1.0
halfwaypost.com	1.0
scarymommy.com	1.0
empiresports.co	2.0
delawareohionews.com	1.0
babnet.net	1.0
themideastbeast.com	2.0
madhousemagazine.com	1.0
columbusfreepress.com	1.0
thelastlineofdefense.org	1.0
investortimes.com	1.0
truthout.org	1.0
colddeadhands.us	1.0
topekasnews.com	1.0
amac.us	1.0
derfmagazine.com	1.0
mdpi.com/journal/alloys	1.0
revcom.us	1.0
freedomworks.org	1.0
thedailybanter.com	1.0
armstrongeconomics.com	1.0
mdpi.com/journal/batteries	1.0
tovima.gr	1.0
thestatelyharold.com	1.0
newsnow.co.uk	1.0
feministcurrent.com	1.0
ironictimes.com	1.0
palmerreport.com	1.0
tyt.com	1.0
dailytelegraph.com.au	1.0
mg.co.za	1.0
skepticalraptor.com	1.0
stpete4peace.org	1.0
tampafp.com	1.0
americanmind.org	1.0
newyorker.com/humor	1.0
mdpi.com/journal/air	1.0
newshounds.us	1.0
c2cjournal.ca	1.0
moroccoworldnews.com	1.0
change.org	1.0
christiantoday.com	1.0
asianews.it/en.html	1.0
tmz.com	1.0
belltower.news	1.0
foodandwaterwatch.org	1.0
vibe.com	1.0
the-postillon.com	1.0
gravelinstitute.org	1.0
firstthings.com	1.0
wikipedia.org	1.0
freedomcrossroads.com	1.0
newyorker.com/humor/borowitz-report	1.0
bostontribune.com	1.0
newsbreakers.org	1.0
realrawnews.com	1.0
freespeech.org	1.0
valuetainment.com	1.0
reductress.com	2.0
endtimeheadlines.org	1.0
speld.nl	2.0
healthyway.com	1.0
israelhayom.com	1.0
stepfeed.com	1.0
brut.media	1.0
mdpi.com/journal/agriengineering	1.0
mdpi.com/journal/adolescents	1.0
thelasource.com	1.0
mothership.sg	1.0
ifyouonlynews.com	1.0
cosmopolitan.com	1.0
campaignforliberty.org	1.0
theneedling.com	1.0
m24.ru	1.0
thepeoplescube.com	1.0
realnewsrightnow.com	2.0
abort73.com	1.0
colorofchange.org	1.0
colombiareports.com	1.0
duhprogressive.com	1.0
nahadaily.com	1.0
thebeaverton.com	2.0
christianpost.com	1.0
mdpi.com/journal/automation	1.0
dailycurrants.com	1.0
actualidadpanamericana.com	1.0
newspageindex.com	1.0
ncnewsline.com	1.0
onegreenplanet.org	1.0
mdpi.com/journal/applsci	1.0
mdpi.com/journal/applmech	1.0
teamdml.com	1.0
thenewamerican.com	1.0
newsthump.com	2.0
sundaysportonline.co.uk	1.0
livemint.com	1.0
indianexpress.com	1.0
bluenewsnetwork.com	1.0
uproxx.com	1.0
heritagedaily.com	1.0
c4ss.org	1.0
worldpress.org	1.0
dailycaller.com	1.0
abriluno.com	1.0
capoliticalreview.com	1.0
legorafi.fr	1.0
deccanherald.com	1.0
christwire.org	1.0
indiatoday.in	1.0
alternative-science.com	1.0
mavenroundtable.io/theintellectualist	1.0
antiwar.com	1.0
policetribune.com	1.0
aninews.in	1.0
badgerinstitute.org	1.0
californiaglobe.com	1.0
alec.org	1.0
theseattletribune.com	1.0
china.org.cn	1.0
thewrap.com	1.0
out.com	1.0
thestar.com	1.0
newideal.aynrand.org	1.0
nymeta.co	1.0
aier.org	1.0
americannewsx.com	1.0
resilience.org	1.0
politicalgarbagechute.com	1.0
theredshtick.com	1.0
faithfamilyamerica.com	1.0
mdpi.com/journal/applnano	1.0
americanjournaldaily.com	1.0
mdpi.com/journal/appliedmath	1.0
hightimes.com	1.0
satiratribune.com	1.0
worldcantwait.net	1.0
aleteia.org	1.0
lgbtqnation.com	1.0
valiantnews.com	1.0
lawenforcementtoday.com	1.0
boingboing.net	1.0
blackamericaweb.com	1.0
washingtonsblog.com	1.0
conservativefighters.co	1.0
foreignpolicynews.org	1.0
celebtricity.com	1.0
fridaymash.com	1.0
gaystarnews.com	1.0
opensocietyfoundations.org	1.0
mrconservative.com	1.0
mdpi.com/journal/agrochemicals	1.0
kurdistan24.net	1.0
nation.africa	1.0
mdpi.com/journal/acoustics	1.0
aftonbladet.se	1.0
regated.com	1.0
smartnews.com/en	1.0
copblock.org	1.0
theaustralian.com.au	1.0
scoopnest.com	1.0
jewishbreakingnews.com	1.0
openvaers.com	1.0
econlib.org	1.0
thefloridasqueeze.com	1.0
mdpi.com	1.0
conservativetears.com	1.0
ffrf.org	1.0
twitchy.com	1.0
nationalcenter.org	1.0
oneangrygamer.net	1.0
suffolkgazette.com	1.0
thenewcivilrightsmovement.com	1.0
dailyreckoning.com	1.0
dandygoat.com	1.0
votevets.org	1.0
ff.org	1.0
dailywire.com	1.0
dailyworldupdate.us	1.0
mdpi.com/journal/animals	1.0
novaramedia.com	1.0
milwaukeeindependent.com	1.0
egyptianstreets.com	1.0
dawn.com	1.0
crisismagazine.com	1.0
canadiandimension.com	1.0
indiatimes.com	1.0
washingtoninstitute.org	1.0
politicot.com	1.0
williambanzai7.blogspot.com	1.0
cc.org	1.0
objectiveministries.org	1.0
blabber.buzz	1.0
citizenfreepress.com	1.0
wonkette.com	1.0
laweekly.com	1.0
justfactsdaily.com	1.0
citizentruth.org	1.0
themadisonmisnomer.com	1.0
christianheadlines.com	1.0
nccivitas.org	1.0
theskunk.org	1.0
tippinsights.com	1.0
thesciencepost.com	1.0
mdpi.com/journal/analytica	1.0
ilgiornale.it	1.0
skynews.com.au	1.0
chaser.com.au	2.0
liberalbias.com	1.0
breakingburgh.com	1.0
freedomfictions.com	1.0
freebeacon.com	1.0
dailynewsreported.com	1.0
gishgallop.com	1.0
boundingintocomics.com	1.0
energycitizens.org	1.0
mdpi.com/journal/actuators	1.0
chroniclesmagazine.org	1.0
wonkie.com	1.0
memeorandum.com	1.0
mcsweeneys.net	1.0
americanoversight.org	1.0
adaderana.lk	1.0
rightandfree.com	1.0
mdpi.com/journal/astronomy	1.0
democraticunderground.com	1.0
dcjournal.com	1.0
nationalmemo.com	1.0
nraila.org	1.0
radiotelevisionmarti.com	1.0
thepostmillennial.com	1.0
monitor.co.ug	1.0
stubhillnews.com	1.0
geo.tv	1.0
aina.org	1.0
brit.co	1.0
rd.com	1.0
catchnews.com	1.0
mdpi.com/journal/aquacj	1.0
readingthepictures.org	1.0
ac2news.com	1.0
conservativeopinion.com	1.0
mxmnews.com	1.0
worldnewsdailyreport.com	2.0
amplifyingglass.com	1.0
wikileaks.org	1.0
2ndvote.com	1.0
weaselzippers.us	1.0
boldprogressives.org	1.0
imao.us	1.0
yaf.org	1.0
cpi.org	1.0
theguardian.com	1.0
calltoactivism.com	1.0
vladtv.com	1.0
fraserinstitute.org	1.0
watchdogreport.org	1.0
rocketnews.com	1.0
thedailybeast.com	1.0
salon.com	1.0
blackmainstreet.net	1.0
betootaadvocate.com	2.0
conservativehq.org	1.0
frontpageslive.com	1.0
tatumreport.com	1.0
atadvocacy.com	1.0
thegailygrind.com	1.0
juancole.com	1.0
libertynation.com	1.0
clickhole.com	2.0
dailysquib.co.uk	2.0
thepoke.co.uk	1.0
amgreatness.com	1.0
icenews.is	1.0
metro.co.uk	1.0
mdpi.com/journal/allergies	1.0
mdpi.com/journal/aerospace	1.0
tharawat-magazine.com	1.0
bizpacreview.com	1.0
penncapital-star.com	1.0
diversitychronicle.wordpress.com	1.0
empirenews.net	2.0
iowacapitaldispatch.com	1.0
fmobserver.com	2.0
diply.com	1.0
infobattle.org	1.0
zaytung.com	1.0
wng.org	1.0
libcom.org	1.0
ibleedredwhiteblue.com	1.0
ngo-monitor.org	1.0
mdpi.com/journal/architecture	1.0
campaignlifecoalition.com	1.0
factsandlogic.org	1.0
satirewire.com	1.0
timcast.com	1.0
judicialnetwork.com	1.0
wionews.com	1.0
a1apac.org	1.0
americanwirenews.com	1.0
bust.com	1.0
claremont.org	1.0
mdpi.com/journal/applmicrobiol	1.0
insidesources.com	1.0
stiltonsplace.blogspot.com	1.0
creambmp.com	1.0
theonion.com	2.0
numbersusa.com	1.0
thegreggjarrett.com	1.0
fff.org	1.0
mdpi.com/journal/axioms	1.0
manilatimes.net	1.0
english.ahram.org.eg	1.0
newspress.com	1.0
elmundotoday.com	1.0
stuppid.com	1.0
landoverbaptist.org	1.0
knock-la.com	1.0
middleeastmonitor.com	1.0
emerging-europe.com/about	1.0
prime9ja.com.ng	1.0
mdpi.com/journal/appliedchem	1.0
thecanary.co	1.0
saudigazette.com.sa	1.0
thenationalherald.com	1.0
sportspickle.com	2.0
sbgi.net	1.0
southendnewsnetwork.net	1.0
politicops.com	1.0
shareblue.com	1.0
mercatornet.com	1.0
sonsof1776.com	1.0
satirev.org	1.0
dailycurrant.com	1.0
thetimesoftheworld.com	1.0
codepink.org	1.0
spiked-online.com	1.0
bangkokpost.com	1.0
americarisingpac.org	1.0
delawarevalleyjournal.com	1.0
iwf.org	1.0
modernliberals.com	1.0
dailykos.com	1.0
interfax.ru	1.0
johnnyrobish.com	1.0
scoopwhoop.com	1.0
rare.us	1.0
trtworld.com	1.0
newbostonpost.com	1.0
newstoad.net	1.0
patriotnewsalerts.com	1.0
religionlo.com	1.0
disrn.com	1.0
aldianews.com	1.0
kansaspolicy.org	1.0
mdpi.com/journal/ai	1.0
ncregister.com	1.0
newpol.org	1.0
pogo.org	1.0
getreligion.org	1.0
postcarbon.org	1.0
downtrend.com	1.0
conservativereview.com	1.0
liberationnews.org	1.0
pluralist.com	1.0
telegraph.co.uk	1.0
sourcewatch.org	1.0
businesslive.co.za	1.0
jewishworldreview.com	1.0
cracked.com	1.0
comicsands.com	1.0
winkprogress.com	1.0
communemag.com	1.0
greenleft.org.au	1.0
nhjournal.com	1.0
conservative.org	1.0
dailysoundandfury.com	1.0
investing.com	1.0
aceflashman.wordpress.com	1.0
ecowatch.com	1.0
gawker.com	1.0
citizensunited.org/index.aspx	1.0
chronicle.su	2.0
newsbiscuit.com	2.0
holyobserver.com	1.0
theuspatriot.com	1.0
the-sun.com	1.0
everydayfeminism.com	1.0
inthesetimes.com	1.0
ndtv.com	1.0
fedsoc.org	1.0
manhattan-institute.org	1.0
accountable.us	1.0
thefirsttv.com	1.0
thereisnews.com	1.0
puck.news	1.0
bolde.com	1.0
pulse.ng	1.0
thenewsnerd.com	1.0
muncievoice.com	1.0
angrywhitemen.org	1.0
act.tv	1.0
mrc.org	1.0
mdpi.com/journal/arm	1.0
nationalreport.net	1.0
academia.org	1.0
sonorannews.com	1.0
thenews.com.pk	1.0
beingliberal.org	1.0
alternativelyfacts.com	1.0
tribunnews.com	1.0
americasvoice.news	1.0
marxist.com	1.0
polinews.org	1.0
borowitzreport.com	1.0
talk.tv	1.0
coed.com	1.0
faithwire.com	1.0
arizonadailyindependent.com	1.0
americaslastlineofdefense.com	1.0
aish.com	1.0
mdpi.com/journal/bacteria	1.0
powerlineblog.com	1.0
scitechdaily.com	1.0
beehivebugle.com	1.0
rockcitytimes.com	1.0
wtoe5news.com	1.0
eutopia.buzz	1.0
asia-pacificresearch.com	1.0
burrardstreetjournal.com	2.0
bearingarms.com	1.0
earthfirstjournal.news	1.0
weeklyworldnews.com	1.0
lincolnproject.us	1.0
leftvoice.org	1.0
waterfordwhispersnews.com	2.0
confederacyofdrones.com	1.0
catholicworldreport.com	1.0
intrepidreport.com	1.0
