domain	bias_rating	category	mbfc_ideo
9news.com	least biased	center	0.0
nbc11news.com	least biased	center	0.0
12news.com	least biased	center	0.0
wibw.com	least biased	center	0.0
wifr.com	least biased	center	0.0
247wallst.com	least biased	center	0.0
24ur.com	least biased	center	0.0
38north.org	least biased	center	0.0
audacy.com/1010wins	least biased	center	0.0
join1440.com	least biased	center	0.0
abc7chicago.com	least biased	center	0.0
abc7ny.com	least biased	center	0.0
abc12.com	least biased	center	0.0
news.abs-cbn.com	least biased	center	0.0
actionnewsjax.com	least biased	center	0.0
adfontesmedia.com	least biased	center	0.0
lenconnect.com	left-center	center	-1.0
adweek.com	least biased	center	0.0
africacheck.org	least biased	center	0.0
agdaily.com	least biased	center	0.0
afp.com/en/home	least biased	center	0.0
ansa.it	least biased	center	0.0
agerpres.ro/english	least biased	center	0.0
agweb.com	right-center	center	1.0
ahwatukee.com	least biased	center	0.0
airforcetimes.com	least biased	center	0.0
airwars.org	least biased	center	0.0
alabamanow.com	least biased	center	0.0
alreporter.com	least biased	center	0.0
democratherald.com	least biased	center	0.0
ad.nl	least biased	center	0.0
allafrica.com	least biased	center	0.0
securingdemocracy.gmfus.org	least biased	center	0.0
alloaadvertiser.com	least biased	center	0.0
thealpenanews.com	least biased	center	0.0
amarillo.com	least biased	center	0.0
americanheritage.com	least biased	center	0.0
americanpressinstitute.org	least biased	center	0.0
news.amomama.com	least biased	center	0.0
adn.com	least biased	center	0.0
independentmail.com	least biased	center	0.0
andoveradvertiser.co.uk	least biased	center	0.0
mlive.com/ann-arbor	least biased	center	0.0
arcdigital.media	least biased	center	0.0
ardrossanherald.com	least biased	center	0.0
arenacindependent.com	least biased	center	0.0
arirang.com	least biased	center	0.0
armytimes.com	least biased	center	0.0
arstechnica.com	least biased	center	0.0
courier-tribune.com	least biased	center	0.0
asiatimes.com	least biased	center	0.0
summitdaily.com	least biased	center	0.0
athensmessenger.com	least biased	center	0.0
atlasobscura.com	least biased	center	0.0
auburnpub.com	least biased	center	0.0
aap.com.au	least biased	center	0.0
avenuenews.com	least biased	center	0.0
ayradvertiser.com	least biased	center	0.0
azfamily.com	least biased	center	0.0
babnet.net	least biased	center	0.0
ballot-access.org	least biased	center	0.0
ballotpedia.org/main_page	least biased	center	0.0
barrheadnews.com	least biased	center	0.0
barryanddistrictnews.co.uk	least biased	center	0.0
basingstokegazette.co.uk	least biased	center	0.0
mlive.com/saginaw-bay-city	least biased	center	0.0
beatricedailysun.com	least biased	center	0.0
bnd.com	right-center	center	1.0
benzinga.com	least biased	center	0.0
bestlifeonline.com	least biased	center	0.0
bettergov.org	least biased	center	0.0
bicesteradvertiser.net	least biased	center	0.0
bigcountry995.com	least biased	center	0.0
bignewsnetwork.com	least biased	center	0.0
bigthink.com	least biased	center	0.0
sunherald.com	least biased	center	0.0
pressconnects.com	least biased	center	0.0
biography.com	least biased	center	0.0
bismarcktribune.com	least biased	center	0.0
us.blastingnews.com	least biased	center	0.0
bleepingcomputer.com	least biased	center	0.0
bnonews.com	least biased	center	0.0
bocapost.com	least biased	center	0.0
bonnercountydailybee.com	least biased	center	0.0
bonnersferryherald.com	least biased	center	0.0
boonvilledailynews.com	least biased	center	0.0
bordercountiesadvertizer.co.uk	least biased	center	0.0
borderreport.com	least biased	center	0.0
bordertelegraph.com	least biased	center	0.0
borehamwoodtimes.co.uk	least biased	center	0.0
bournemouthecho.co.uk	least biased	center	0.0
bozemandailychronicle.com	least biased	center	0.0
bracknellnews.co.uk	least biased	center	0.0
thetelegraphandargus.co.uk	least biased	center	0.0
braintreeandwithamtimes.co.uk	least biased	center	0.0
brentwoodlive.co.uk	least biased	center	0.0
bridgemi.com	left-center	center	-1.0
bridgwatermercury.co.uk	least biased	center	0.0
bridportnews.co.uk	least biased	center	0.0
bringmethenews.com	least biased	center	0.0
heraldcourier.com	least biased	center	0.0
bromsgroveadvertiser.co.uk	least biased	center	0.0
theeagle.com	least biased	center	0.0
bucksfreepress.co.uk	least biased	center	0.0
thebuffalocentertribune.com	least biased	center	0.0
buffalonews.com	least biased	center	0.0
bullshido.net	least biased	center	0.0
shawlocal.com/bureau-county-republican	least biased	center	0.0
